related_sector,secid
其他建材Ⅲ,90.BK1468
其他化学原料,90.BK1420
通信,90.BK1215
海洋捕捞,90.BK1513
瓷砖地板,90.BK1538
印刷包装机械,90.BK1406
农用机械,90.BK1404
轨交设备Ⅲ,90.BK1394
轨交设备Ⅱ,90.BK1236
非金属材料Ⅲ,90.BK1411
非金属材料Ⅱ,90.BK1020
教育,90.BK0740
养殖业,90.BK1259
大宗用纸,90.BK1544
其他专业服务,90.BK1567
生猪养殖,90.BK1512
石油石化,90.BK0464
综合乘用车,90.BK1520
影视院线,90.BK1222
小家电,90.BK1244
水泥制品,90.BK1463
专业服务,90.BK1043
大气治理,90.BK1388
种植业,90.BK1261
公路货运,90.BK1487
种子,90.BK1518
金属包装,90.BK1532
安防设备,90.BK1445
其他能源发电,90.BK1378
水务及水治理,90.BK1390
仪器仪表,90.BK0458
煤炭,90.BK0437
航空装备Ⅲ,90.BK1384
航空装备Ⅱ,90.BK1231
培训教育,90.BK1557
跨境电商,90.BK1547
辅料,90.BK1348
产业地产,90.BK1344
聚氨酯,90.BK1426
化妆品制造及其他,90.BK1497
建筑材料,90.BK1208
固废治理,90.BK1389
线缆部件及其他,90.BK1312
专业工程,90.BK1248
钨,90.BK1625
纺织制造,90.BK1224
管材,90.BK1466
化学原料,90.BK1019
玻璃制造,90.BK1461
国防军工,90.BK1204
环境治理,90.BK1235
检测服务,90.BK1566
油气开采Ⅲ,90.BK1574
油气开采Ⅱ,90.BK1276
化学纤维,90.BK0471
纺织化学制品,90.BK1423
其他通用设备,90.BK1398
房屋建设Ⅲ,90.BK1470
房屋建设Ⅱ,90.BK1246
装修建材,90.BK0476
娱乐用品,90.BK1543
氯碱,90.BK1418
炭黑,90.BK1442
肉鸡养殖,90.BK1511
渔业,90.BK1260
航海装备Ⅲ,90.BK1383
航海装备Ⅱ,90.BK1230
照明设备Ⅲ,90.BK1460
照明设备Ⅱ,90.BK1245
涤纶,90.BK1413
环保,90.BK0728
涂料,90.BK1469
互联网电商,90.BK1268
乘用车,90.BK1262
IT服务Ⅲ,90.BK1444
IT服务Ⅱ,90.BK1238
钢铁管材,90.BK1368
其他橡胶制品,90.BK1441
综合包装,90.BK1536
动力煤,90.BK1493
其他化学纤维,90.BK1415
个护小家电,90.BK1458
家用电器,90.BK0456
信托,90.BK1363
文娱用品,90.BK1266
工程机械器件,90.BK1392
图片媒体,90.BK1297
耐火材料,90.BK1467
影视动漫制作,90.BK1299
印染,90.BK1351
其他医疗服务,90.BK1599
橡胶,90.BK1018
计算机,90.BK1207
磷肥及磷化工,90.BK1435
综合电力设备商,90.BK1323
品牌消费电子,90.BK1337
计算机设备,90.BK0735
通信终端及配件,90.BK1593
医美服务,90.BK1499
煤炭开采,90.BK1250
火电设备,90.BK1321
军工电子Ⅲ,90.BK1386
军工电子Ⅱ,90.BK1233
燃气Ⅲ,90.BK1381
燃气Ⅱ,90.BK1028
基础化工,90.BK1206
垂直应用软件,90.BK1447
水产养殖,90.BK1514
鞋帽及其他,90.BK1354
专用设备,90.BK0910
综合环境治理,90.BK1391
软件开发,90.BK0737
能源及重型设备,90.BK1403
锦纶,90.BK1414
通用设备,90.BK0545
其他纺织,90.BK1350
特钢Ⅲ,90.BK1370
特钢Ⅱ,90.BK1227
其他计算机设备,90.BK1446
其他运输设备,90.BK1522
机械设备,90.BK1205
黄金,90.BK1617
化学制品,90.BK0538
清洁小家电,90.BK1459
其他黑色家电,90.BK1454
火力发电,90.BK1377
体育Ⅲ,90.BK1564
体育Ⅱ,90.BK1273
油品石化贸易,90.BK1571
横向通用软件,90.BK1448
摩托车及其他,90.BK1263
广告营销,90.BK1220
面板,90.BK1335
通信服务,90.BK0736
汽车综合服务,90.BK1524
光学元件,90.BK1334
贵金属,90.BK0732
黑色家电,90.BK1241
其他种植业,90.BK1516
焦煤,90.BK1494
油气及炼化工程,90.BK1572
环保设备Ⅲ,90.BK1387
环保设备Ⅱ,90.BK1234
热力服务,90.BK1379
摩托车,90.BK1521
无机盐,90.BK1422
磁性材料,90.BK1618
汽车,90.BK1211
公用事业,90.BK0427
水力发电,90.BK1380
通信应用增值服务,90.BK1589
车身附件及饰件,90.BK1525
电商服务,90.BK1546
文化用品,90.BK1542
通信工程及服务,90.BK1588
其他化学制品,90.BK1428
电动乘用车,90.BK1519
其他汽车零部件,90.BK1528
光学光电子,90.BK1038
彩电,90.BK1453
制冷空调设备,90.BK1400
油服工程,90.BK1275
营销代理,90.BK1293
电力,90.BK0428
铝,90.BK1613
汽车零部件,90.BK0481
其他专用设备,90.BK1405
其他塑料制品,90.BK1440
机床工具,90.BK1395
磨具磨料,90.BK1397
油田服务,90.BK1573
膜材料,90.BK1439
金属制品,90.BK1396
电能综合服务,90.BK1373
钛白粉,90.BK1421
燃料电池,90.BK1305
氟化工,90.BK1424
蓄电池及其他电池,90.BK1306
工控设备,90.BK1407
光伏加工设备,90.BK1317
玻璃玻纤,90.BK0546
水产饲料,90.BK1509
风力发电,90.BK1374
底盘与发动机系统,90.BK1526
白银,90.BK1616
家电零部件Ⅲ,90.BK1455
家电零部件Ⅱ,90.BK1242
小金属,90.BK1027
硅料硅片,90.BK1319
汽车电子电气系统,90.BK1529
工业金属,90.BK1287
LED,90.BK1333
其他专业工程,90.BK1477
有色金属,90.BK0478
电网设备,90.BK0457
电工仪器仪表,90.BK1308
镍,90.BK1622
金属新材料,90.BK1288
铜,90.BK1615
消费电子,90.BK1037
塑料,90.BK0454
金融信息服务,90.BK1360
风电零部件,90.BK1313
光伏电池组件,90.BK1315
光伏主材,90.BK1318
消费电子零部件及组装,90.BK1338
电力设备,90.BK1200
电网自动化设备,90.BK1309
风电设备,90.BK1032
其他饰品,90.BK1356
锂,90.BK1621
能源金属,90.BK1015
自动化设备,90.BK1237
铅锌,90.BK1614
其他自动化设备,90.BK1410
激光设备,90.BK1409
电机Ⅲ,90.BK1307
电机Ⅱ,90.BK1030
锂电池,90.BK1303
其他电源设备Ⅱ,90.BK1034
电池化学品,90.BK1302
输变电设备,90.BK1311
钴,90.BK1620
光伏设备,90.BK1031
有机硅,90.BK1431
电池,90.BK1033
其他金属新材料,90.BK1619
涂料油墨,90.BK1430
改性塑料,90.BK1437
光伏发电,90.BK1375
配电设备,90.BK1310
其他电源设备Ⅲ,90.BK1322
防水材料,90.BK1465
胶黏剂及胶带,90.BK1425
风电整机,90.BK1314
其他电子Ⅲ,90.BK1336
其他电子Ⅱ,90.BK1223
电子,90.BK1201
橡胶助剂,90.BK1443
被动元件,90.BK1339
其他小金属,90.BK1624
合成树脂,90.BK1438
钼,90.BK1623
玻纤制造,90.BK1462
模拟芯片设计,90.BK1330
逆变器,90.BK1320
光伏辅材,90.BK1316
机器人,90.BK1408
文字媒体,90.BK1298
半导体材料,90.BK1325
锂电专用设备,90.BK1304
半导体设备,90.BK1326
元件,90.BK0459
半导体,90.BK1036
分立器件,90.BK1327
数字芯片设计,90.BK1331
印制电路板,90.BK1340
电子化学品Ⅲ,90.BK1332
电子化学品Ⅱ,90.BK1039
集成电路制造,90.BK1329
集成电路封测,90.BK1328
免税概念,90.BK0927
